Brand,Model_Name,Model_Year,Vehicle_Age,Mileage_km,Engine_Capacity,Location_District,Condition,Fuel_Type,Transmission,Body_Type,Colour
Suzuki,Alto,2017.0,9.0,185000.0,796.0,Kosgoda,Used,Petrol,Manual,Hatchback,white
Toyota,Axio,2015.0,11.0,137000.0,1500.0,Kurunegala,Used,Petrol,Automatic,Convertible,white
Micro,Panda,2015.0,11.0,25000.0,1000.0,Katunayake,Used,Petrol,Manual,Hatchback,silver
Toyota,Vitz,2007.0,19.0,149000.0,1000.0,Waikkal,Used,Petrol,Automatic,Hatchback,silver
Toyota,Prius,2013.0,13.0,159000.0,1500.0,Ambalangoda,Used,Hybrid,Automatic,Liftback,purple
Perodua,Viva,2011.0,15.0,90000.0,800.0,Matara,Used,Petrol,Manual,Hatchback,silver
Daihatsu,Mira,2023.0,3.0,9000.0,660.0,Avissawella,Reconditioned,Petrol,Automatic,Hatchback,blue
Suzuki,Spacia,2022.0,4.0,30000.0,660.0,Alutgama,Brand New,Hybrid,Automatic,Hatchback,white
Honda,Fit,2014.0,12.0,140000.0,1330.0,Pussellawa,Used,Petrol,Automatic,Hatchback,white
Toyota,Yaris,2024.0,2.0,4000.0,1000.0,Adampan,Used,Hybrid,Automatic,Hatchback,gray
Toyota,Vitz,2016.0,10.0,0.0,1000.0,Borella (Colombo 08),Used,Petrol,Automatic,Hatchback,silver
Toyota,Axio,2014.0,12.0,218000.0,1500.0,Dambulla,Used,Petrol,Automatic,Saloon,white
Nissan,FB 14,1996.0,30.0,350000.0,1970.0,Karativu,Used,Diesel,Automatic,Hatchback,silver
Mitsubishi,eK,2024.0,2.0,0.0,660.0,Kurunegala,Used,Petrol,Automatic,Convertible,white
Suzuki,Wagon R,2018.0,8.0,70650.0,650.0,Ratmalana,Used,Petrol,Automatic,Hatchback,black
Suzuki,Alto,2016.0,10.0,82713.0,658.0,Athurugiriya,Used,Petrol,Manual,Hatchback,black
Nissan,HP11,2000.0,26.0,345000.0,2000.0,Narahenpita (Colombo 05),Used,Petrol,Manual,Sedan,black
Toyota,Axio,2007.0,19.0,180000.0,1496.0,Kirillawala,Used,Petrol,Automatic,Sedan,silver
Toyota,Belta,2007.0,19.0,160000.0,1000.0,Homagama,Used,Petrol,Automatic,Saloon,silver
Suzuki,Wagon R,2023.0,3.0,12500.0,660.0,Homagama,Used,Petrol,Automatic,Hatchback,black
