Brand,Model_Name,Model_Year,Vehicle_Age,Mileage_km,Engine_Capacity,Location_District,Condition,Fuel_Type,Transmission,Body_Type,Colour,Price_LKR
Suzuki,Wagon R,2018.0,8.0,92000.0,998.0,Baddegama,Used,Petrol,Automatic,Hatchback,white,6500000.0
Suzuki,Wagon R,2018.0,8.0,82000.0,650.0,Samanthurai,Used,Petrol,Automatic,Station wagon,white,6900000.0
Suzuki,Wagon R,2018.0,8.0,85000.0,650.0,Kalmunai,Used,Petrol,Automatic,Sedan,white,6950000.0
Suzuki,Celerio,2014.0,12.0,87000.0,1000.0,Dehiwala,Used,Petrol,Tiptronic,Hatchback,yellow,4750000.0
Toyota,Premio,2016.0,10.0,139000.0,1500.0,Nugegoda,Used,Petrol,Automatic,Liftback,white,13700000.0
Toyota,Yaris,2023.0,3.0,76500.0,1000.0,Kotte,Reconditioned,Petrol,Automatic,Hatchback,white,7950000.0
Toyota,Vitz,2016.0,10.0,0.0,1000.0,Ratnapura,Used,Petrol,Automatic,,black,6950000.0
Toyota,Allion,2010.0,16.0,155000.0,1300.0,Kollupitiya (Colombo 03),Used,Petrol,Manual,Hatchback,white,8350000.0
Mazda,Flair,2025.0,1.0,10000.0,650.0,Panadura,Reconditioned,Hybrid,Automatic,Hatchback,white,8225000.0
Micro,Panda,2014.0,12.0,0.0,1000.0,Panadura,Used,Petrol,Manual,Hatchback,blue,2895000.0
Nissan,Sunny,2001.0,25.0,1500.0,1490.0,Thalapathpitiya,Reconditioned,Petrol,Manual,,white,3975000.0
Tata,Indica,2015.0,11.0,120000.0,1200.0,Matale,Used,Petrol,Manual,Hatchback,maroon,2800000.0
Suzuki,Spacia,2018.0,8.0,130000.0,660.0,Pannipitiya,Used,Hybrid,Automatic,Sedan,blue,7450000.0
Nissan,NV100,2016.0,10.0,84000.0,800.0,Dematagoda (Colombo 09),Used,Petrol,Automatic,Convertible,white,5700000.0
Nissan,March,2002.0,24.0,100000.0,1240.0,Badulla,Used,Petrol,Automatic,Hatchback,other,4490000.0
Nissan,Dayz,2024.0,2.0,2800.0,660.0,Colombo Fort (Colombo 01),Reconditioned,Petrol,Automatic,Hatchback,silver,7190000.0
Suzuki,Alto,2015.0,11.0,88487.0,800.0,Wattala,Used,Petrol,Manual,Hatchback,black,3890000.0
Suzuki,Spacia,2015.0,11.0,138000.0,960.0,Monaragala,Used,Petrol,Automatic,Hatchback,pink,5900000.0
Toyota,Vitz,2005.0,21.0,0.0,1000.0,Gampola,Used,Hybrid,Automatic,Hatchback,blue,5100000.0
Suzuki,Wagon R,2024.0,2.0,0.0,650.0,Borella (Colombo 08),Brand New,Petrol,Automatic,Hatchback,blue,8500000.0
Suzuki,Swift,2004.0,22.0,110000.0,1320.0,Galle,Used,Petrol,Automatic,Liftback,blue,4275000.0
Mitsubishi,Minica,2008.0,18.0,140000.0,998.0,Badalgama,Used,Petrol,Automatic,Hatchback,black,3550000.0
Toyota,Axio,2014.0,12.0,140000.0,1490.0,Beruwala,Used,Petrol,Automatic,Saloon,white,8700000.0
Honda,Civic,2005.0,21.0,172000.0,1600.0,Colombo Fort (Colombo 01),Used,Petrol,Manual,Sedan,black,5800000.0
Suzuki,Maruti,2010.0,16.0,0.0,800.0,Galkulama,Used,Petrol,Manual,Liftback,black,3000000.0
Tata,Indigo,2015.0,11.0,119000.0,1200.0,Kirillawala,Used,Petrol,Manual,Hatchback,silver,3290000.0
Toyota,Yaris,2025.0,1.0,10000.0,1000.0,Wattala,Brand New,Petrol,Automatic,Hatchback,white,9900000.0
Toyota,Vitz,2017.0,9.0,123000.0,1000.0,Nugegoda,Used,Petrol,Automatic,Hatchback,blue,7500000.0
Nissan,N 16,2000.0,26.0,145000.0,1300.0,Ganemulla,Used,Petrol,Manual,Saloon,maroon,3950000.0
Suzuki,SX,2018.0,8.0,81000.0,1200.0,Piliyandala,Used,Petrol,Automatic,Hatchback,black,5250000.0
Suzuki,Celerio,2016.0,10.0,96000.0,1000.0,Kadawatha,Used,Petrol,Automatic,Hatchback,white,4975000.0
Nissan,Tiida,2008.0,18.0,167000.0,1500.0,Nawala,Used,Petrol,Automatic,Hatchback,black,6275000.0
Suzuki,Wagon R,2015.0,11.0,0.0,900.0,Dedunupitiya,Used,Petrol,Automatic,Liftback,other,6500000.0
BMW,740Le,2017.0,9.0,18000.0,2000.0,Kohuwala,Used,Petrol,Automatic,Saloon,white,43500000.0
Suzuki,Hustler,2024.0,2.0,3000.0,658.0,Mawathagama,Reconditioned,Petrol,Automatic,Sports,white,8750000.0
Suzuki,Wagon R,2018.0,8.0,0.0,900.0,Keppetipola,Used,Petrol,Automatic,Liftback,white,6500000.0
Toyota,DX Wagon,1990.0,36.0,100000.0,1300.0,Badulla,Used,Petrol,Manual,Station wagon,green,1900000.0
Nissan,Sunny,1987.0,39.0,245000.0,1300.0,Kottawa,Used,Petrol,Manual,Sedan,gray,1499000.0
Toyota,Axio,2007.0,19.0,160000.0,1500.0,Matale,Used,Petrol,Automatic,Sedan,silver,7250000.0
Honda,Civic,2003.0,23.0,212647.0,1490.0,Colombo Fort (Colombo 01),Used,Petrol,Automatic,Hatchback,silver,5625000.0
Hyundai,Eon,2016.0,10.0,24500.0,814.0,Batticaloa,Used,Petrol,Manual,Hatchback,white,4500000.0
Toyota,Axio,2017.0,9.0,121000.0,1500.0,Kohuwala,Used,Hybrid,Automatic,Saloon,other,11750000.0
Mercedes Benz,C200,2008.0,18.0,163000.0,1800.0,Moratuwa,Used,Petrol,Automatic,Saloon,white,10500000.0
Nissan,N 16,2003.0,23.0,173000.0,1300.0,Badulla,Used,Petrol,Manual,Saloon,silver,4200000.0
Suzuki,Baleno,2016.0,10.0,123000.0,1200.0,Godagama,Used,Petrol,Automatic,Hatchback,black,6750000.0
Toyota,Premio,2010.0,16.0,118000.0,1500.0,Kandy,Used,Petrol,Automatic,Hatchback,gray,8990000.0
Micro,Panda,2013.0,13.0,0.0,1000.0,Horana,Used,Petrol,Manual,Hatchback,black,2550000.0
Subaru,Pleo,2023.0,3.0,7500.0,658.0,Narammala,Reconditioned,Petrol,Automatic,Hatchback,red,5900000.0
Nissan,Dayz,2024.0,2.0,2500.0,659.0,Rajagiriya,Brand New,Petrol,Automatic,Hatchback,blue,8300000.0
Suzuki,Alto,2015.0,11.0,75000.0,1000.0,Battaramulla,Used,Petrol,Other,Hatchback,black,3850000.0
Toyota,Belta,2007.0,19.0,150000.0,990.0,Wellampitiya,Used,Petrol,Automatic,Liftback,white,5975000.0
Suzuki,Estilo,2012.0,14.0,98000.0,1000.0,Ragama,Used,Petrol,Manual,Hatchback,gold,3575000.0
Micro,Panda,2012.0,14.0,0.0,1300.0,Panadura,Used,Petrol,Manual,Hatchback,orange,2495000.0
Suzuki,Alto,2015.0,11.0,117000.0,800.0,Batticaloa,Used,Petrol,Manual,Hatchback,gray,3550000.0
Mercedes Benz,C200,2025.0,1.0,0.0,1500.0,Maradana (Colombo 10),Brand New,Hybrid,Automatic,Saloon,black,48900000.0
Suzuki,Maruti,2007.0,19.0,0.0,,Kurunegala,Used,Petrol,Manual,Hatchback,maroon,2700000.0
Mazda,Demio,2009.0,17.0,180000.0,1300.0,Pelmadulla,Used,Petrol,Automatic,Hatchback,white,5480000.0
Mitsubishi,Lancer,,,150000.0,1496.0,Pilimatalawa,Used,Petrol,Manual,Sedan,blue,620000.0
Daihatsu,Mira,2023.0,3.0,1234.0,660.0,Kottawa,Brand New,Petrol,Automatic,Liftback,blue,6400000.0
Suzuki,Swift,2004.0,22.0,122000.0,760.0,Matara,Used,Petrol,Manual,Hatchback,black,4175000.0
Audi,Q2,2019.0,7.0,146000.0,999.0,Athurugiriya,Used,Petrol,Automatic,Hatchback,gray,13600000.0
Honda,Fit,2011.0,15.0,110000.0,1339.0,Moratuwa,Used,Petrol,Automatic,Hatchback,silver,7000000.0
Toyota,Vitz,2017.0,9.0,55000.0,1500.0,Kandy,Used,Petrol,Automatic,,gray,7650000.0
Perodua,Bezza,2018.0,8.0,63000.0,1000.0,Narahenpita (Colombo 05),Used,Petrol,Manual,Hatchback,white,6600000.0
Suzuki,Wagon R,2025.0,1.0,1500.0,690.0,Kurunegala,Brand New,Hybrid,Automatic,Hatchback,white,8500000.0
Suzuki,Wagon R,2025.0,1.0,0.0,650.0,Attanagalla,Brand New,Hybrid,Automatic,Hatchback,white,8750000.0
Suzuki,A Star,2012.0,14.0,119678.0,1000.0,Katunayake,Used,Petrol,Manual,Hatchback,brown,3850000.0
Toyota,Passo,2009.0,17.0,131275.0,1000.0,Gampaha,Used,Petrol,Automatic,Hatchback,silver,4650000.0
Suzuki,Wagon R,2018.0,8.0,72000.0,650.0,Pannala,Used,Petrol,Automatic,Convertible,white,6975000.0
Honda,Accord,1994.0,32.0,0.0,2000.0,Agarapathana,Used,Petrol,Manual,Saloon,blue,2850000.0
Honda,Grace,2017.0,9.0,120000.0,1600.0,Matara,Reconditioned,Petrol,Automatic,Liftback,white,9000000.0
Suzuki,Wagon R,2014.0,12.0,100000.0,650.0,Bandaragama,Used,Hybrid,Automatic,Convertible,black,5695000.0
Honda,Fit,2014.0,12.0,125000.0,1500.0,Moratuwa,Used,Hybrid,Automatic,Liftback,black,7575000.0
Suzuki,Wagon R,2018.0,8.0,22.14,650.0,Welimada,Used,Hybrid,Automatic,Hatchback,white,7450000.0
Honda,Grace,2015.0,11.0,141800.0,1500.0,Bambalapitiya (Colombo 04),Used,Hybrid,Automatic,Hatchback,maroon,8900000.0
Suzuki,Wagon R,2015.0,11.0,136000.0,650.0,Malabe,Used,Hybrid,Automatic,Hatchback,black,5690000.0
