Brand,Model_Name,Model_Year,Vehicle_Age,Mileage_km,Engine_Capacity,Location_District,Condition,Fuel_Type,Transmission,Body_Type,Colour,Price_LKR
Honda,Civic,2018.0,8.0,95000.0,1000.0,Alutgama,Used,Petrol,Automatic,Hatchback,gray,11200000.0
Toyota,Passo,2015.0,11.0,145000.0,1000.0,Dehiwala,Used,Petrol,Automatic,Saloon,white,6050000.0
Suzuki,Swift,2010.0,16.0,140000.0,1200.0,Batticaloa,Used,Petrol,Manual,Hatchback,silver,4900000.0
Audi,A6,2013.0,13.0,165000.0,1968.0,Slave Island (Colombo 02),Used,Diesel,Automatic,Sedan,black,14000000.0
Toyota,Prius,2013.0,13.0,143000.0,1600.0,Ambalangoda,Used,Hybrid,Automatic,Liftback,silver,10500000.0
Perodua,Elite,2011.0,15.0,117000.0,1000.0,Ambalangoda,Used,Petrol,Automatic,Hatchback,white,4125000.0
Toyota,Corolla,2008.0,18.0,110000.0,1600.0,Kandy,Used,Petrol,Automatic,Saloon,white,7350000.0
Micro,Panda,2016.0,10.0,71752.0,1000.0,Pelmadulla,Used,Petrol,Manual,Hatchback,black,3395000.0
Suzuki,Swift,2003.0,23.0,241000.0,1300.0,Ampitiya,Used,Petrol,Automatic,Hatchback,white,4300000.0
Toyota,Aqua,2013.0,13.0,161000.0,1500.0,Matara,Used,Hybrid,Automatic,Hatchback,gray,7600000.0
Daihatsu,Mira,2025.0,1.0,20.0,660.0,Alutgama,Brand New,Petrol,Automatic,Sports,gray,6950000.0
BMW,5 Series,2012.0,14.0,134000.0,1997.0,Colombo Fort (Colombo 01),Used,Petrol,Automatic,Saloon,gold,16500000.0
Suzuki,Wagon R,2017.0,9.0,109000.0,650.0,Alawatugoda,Used,Petrol,Automatic,Station wagon,black,6500000.0
KIA,Cerato,2011.0,15.0,68000.0,1600.0,Kohuwala,Used,Petrol,Automatic,Sedan,blue,6400000.0
Tata,Indica,2006.0,20.0,100000.0,1300.0,Katunayake,Used,Petrol,Manual,Hatchback,silver,3900000.0
Toyota,Roomy,2025.0,1.0,0.0,1000.0,Kottawagama,Brand New,Petrol,Automatic,Station wagon,white,12600000.0
Suzuki,Alto,2017.0,9.0,185000.0,796.0,Kosgoda,Used,Petrol,Manual,Hatchback,white,4875000.0
Toyota,Axio,2015.0,11.0,137000.0,1500.0,Kurunegala,Used,Petrol,Automatic,Convertible,white,10250000.0
Micro,Panda,2015.0,11.0,25000.0,1000.0,Katunayake,Used,Petrol,Manual,Hatchback,silver,2750000.0
Toyota,Vitz,2007.0,19.0,149000.0,1000.0,Waikkal,Used,Petrol,Automatic,Hatchback,silver,5200000.0
Toyota,Prius,2013.0,13.0,159000.0,1500.0,Ambalangoda,Used,Hybrid,Automatic,Liftback,purple,9625000.0
Perodua,Viva,2011.0,15.0,90000.0,800.0,Matara,Used,Petrol,Manual,Hatchback,silver,4400000.0
Daihatsu,Mira,2023.0,3.0,9000.0,660.0,Avissawella,Reconditioned,Petrol,Automatic,Hatchback,blue,6475000.0
Suzuki,Spacia,2022.0,4.0,30000.0,660.0,Alutgama,Brand New,Hybrid,Automatic,Hatchback,white,8350000.0
Honda,Fit,2014.0,12.0,140000.0,1330.0,Pussellawa,Used,Petrol,Automatic,Hatchback,white,8200000.0
Toyota,Yaris,2024.0,2.0,4000.0,1000.0,Adampan,Used,Hybrid,Automatic,Hatchback,gray,9890000.0
Toyota,Vitz,2016.0,10.0,0.0,1000.0,Borella (Colombo 08),Used,Petrol,Automatic,Hatchback,silver,7490000.0
Toyota,Axio,2014.0,12.0,218000.0,1500.0,Dambulla,Used,Petrol,Automatic,Saloon,white,8250000.0
Nissan,FB 14,1996.0,30.0,350000.0,1970.0,Karativu,Used,Diesel,Automatic,Hatchback,silver,2750000.0
Mitsubishi,eK,2024.0,2.0,0.0,660.0,Kurunegala,Used,Petrol,Automatic,Convertible,white,6850000.0
Suzuki,Wagon R,2018.0,8.0,70650.0,650.0,Ratmalana,Used,Petrol,Automatic,Hatchback,black,7100000.0
Suzuki,Alto,2016.0,10.0,82713.0,658.0,Athurugiriya,Used,Petrol,Manual,Hatchback,black,3890000.0
Nissan,HP11,2000.0,26.0,345000.0,2000.0,Narahenpita (Colombo 05),Used,Petrol,Manual,Sedan,black,3585000.0
Toyota,Axio,2007.0,19.0,180000.0,1496.0,Kirillawala,Used,Petrol,Automatic,Sedan,silver,6875000.0
Toyota,Belta,2007.0,19.0,160000.0,1000.0,Homagama,Used,Petrol,Automatic,Saloon,silver,6000000.0
Suzuki,Wagon R,2023.0,3.0,12500.0,660.0,Homagama,Used,Petrol,Automatic,Hatchback,black,7500000.0
Toyota,Premio,2014.0,12.0,180000.0,1500.0,Galle,Used,Petrol,Automatic,Saloon,white,12500000.0
